i m 	j ai ans 
i m really starting to get worried 	je commence vraiment a m inquieter 
i m sick of conferences these days 	j en ai assez des conferences ces temps ci 
i m sorry i had to leave you alone 	je suis desole de devoir te laisser seul 
i m sorry to have kept you waiting 	je suis desole de vous avoir fait attendre 
i m sorry we can t stay any longer 	je suis desole nous ne pouvons rester plus longtemps 
i m sorry we can t stay any longer 	je suis desolee nous ne pouvons rester plus longtemps 
i m sorry i don t really remember 	je suis desole je ne me rappelle pas vraiment 
i m sorry i don t really remember 	je suis desolee je ne me rappelle pas vraiment 
i m sorry i don t really remember 	je suis desole je ne m en souviens pas vraiment 
i m sorry i don t really remember 	je suis desolee je ne m en souviens pas vraiment 
i m sorry but i can t go with you 	desole mais je ne peux pas venir avec vous 
i m sorry my mother s not at home 	je suis desole ma mere n est pas a la maison 
i m studying french and web design 	je suis en train d etudier le francais et le web design 
i m sure i ll win the tennis match 	je suis sure de remporter le match de tennis 
i m sure tom told you i was coming 	je suis sur que tom t a dit que je venais 
i m sure tom told you i was coming 	je suis sure que tom vous a dit que je venais 
i m sure tom told you i was coming 	je suis sure que tom t a dit que je venais 
i m sure tom told you i was coming 	je suis sur que tom vous a dit que je venais 
i m sure you don t want to do that 	je suis certain que tu ne veux pas faire ca 
i m sure you don t want to do that 	je suis certaine que tu ne veux pas faire ca 
i m sure you don t want to do that 	je suis certain que ce n est pas la ce que tu veux faire 
i m sure you don t want to do that 	je suis certaine que ce n est pas la ce que tu veux faire 
i m surprised you didn t know that 	je suis surpris que vous ignoriez cela 
i m surprised you didn t know that 	je suis surprise que vous ignoriez cela 
i m surprised you didn t know that 	je suis surpris que tu ignorais cela 
i m surprised you didn t know that 	je suis surprise que tu ignorais cela 
i m thinking of having dinner at 	je pense diner a heures 
i m too old for this sort of thing 	je suis trop vieux pour ce genre de choses 
i m too old for this sort of thing 	je suis trop vieille pour ce genre de choses 
i m trying to get my children back 	j essaye de recuperer mes enfants 
i m very busy so don t count on me 	je suis tres occupe alors ne comptez pas sur moi 
i m very busy so don t count on me 	je suis tres occupee alors ne comptez pas sur moi 
i m very busy so don t count on me 	je suis tres occupe alors ne compte pas sur moi 
i m very busy so don t count on me 	je suis tres occupee alors ne compte pas sur moi 
i m very slow at making up my mind 	je suis tres lent pour me decider 
i m very sorry i came home so late 	je suis vraiment desole d etre rentre a la maison aussi tard 
i m very sorry i came home so late 	je suis vraiment desolee d etre rentre a la maison aussi tard 
i m very worried about your health 	je me fais beaucoup de souci au sujet de votre sante 
i m very worried about your health 	je me fais beaucoup de souci au sujet de ta sante 
i m way stronger than i used to be 	je suis bien plus forte que je ne l etais avant 
i m way stronger than i used to be 	je suis bien plus fort que je ne l etais avant 
she is able to speak ten languages 	elle sait parler dix langues 
she is afraid of falling ill again 	elle a peur de retomber malade 
she is always trying to please him 	elle essaie toujours de lui faire plaisir 
she is among those unaccounted for 	elle compte parmi ceux dont on est sans nouvelles 
she is busy preparing for the trip 	elle est occupee a preparer le voyage 
she is connected with that company 	elle est en relation avec cette societe 
she is going to learn how to drive 	elle va apprendre a conduire 
she is handicapped by poor hearing 	elle souffre d une mauvaise audition 
she is learning how to drive a car 	elle apprend a conduire une voiture 
she is too young to know the truth 	elle est trop jeune pour connaitre la verite 
she is very popular among the boys 	elle a beaucoup de succes aupres des garcons 
she is very thoughtful and patient 	elle est vraiment attentive et patiente 
she seems to be living by the lake 	on dirait qu elle habite pres du lac 
she seems to understand what i say 	elle a l air de comprendre ce que je dis 
she spends a lot of money on books 	elle depense beaucoup d argent en livres 
she spends a lot of money on shoes 	elle depense beaucoup d argent pour des chaussures 
she stayed there for a short while 	elle etait restee la pendant un moment 
she studied english in the morning 	elle etudiait l anglais le matin 
she s a lot smarter than she looks 	elle est bien plus intelligente qu elle ne parait 
she s a smart and independent girl 	c est une fille intelligente et independante 
she s about the same height as you 	elle est a peu pres de la meme taille que toi 
she s about the same height as you 	elle est approximativement de la meme taille que toi 
she s as good a cook as her mother 	elle cuisine aussi bien que sa mere 
she s five years younger than i am 	elle a cinq ans de moins que moi 
she s giving each child two apples 	elle donne a chaque enfant deux pommes 
she s got a good eye for paintings 	elle a l il pour la peinture 
she s in the garden planting roses 	elle plante des roses dans le jardin 
she s not prettier than her mother 	elle n est pas plus belle que sa mere 
they are aware of the difficulties 	ils sont conscients des difficultes 
they are disappointed in their son 	ils sont decus par leur fils 
they are facing financial problems 	ils se voient confrontes a des difficultes financieres 
they are proud of their clever son 	ils sont fiers de l intelligence de leur fils 
they re back where they want to be 	ils sont de retour la ou ils veulent etre 
they re back where they want to be 	elles sont de retour la ou elles veulent etre 
they re sunbathing around the pool 	ils bronzent autour de la piscine 
they re sunbathing around the pool 	elles bronzent autour de la piscine 
we are about to sit down to dinner 	nous sommes sur le point de nous mettre a table pour diner 
we are about to sit down to dinner 	nous sommes sur le point de nous mettre a table pour souper 
we are accustomed to wearing shoes 	nous sommes habitues a porter des chaussures 
we are accustomed to wearing shoes 	nous sommes habituees a porter des chaussures 
we are all eager to know the truth 	nous sommes tous avides de connaitre la verite 
we are in the era of atomic energy 	nous sommes a l ere de l energie nucleaire 
we are looking for a place to stay 	nous sommes a la recherche d un endroit ou sejourner 
we are playing tennis this weekend 	nous jouons au tennis ce week end 
we are sorry for the inconvenience 	nous sommes desoles pour le derangement 
we are sorry for the inconvenience 	nous sommes desolees pour le derangement 
we are traveling on a tight budget 	nous voyageons avec un budget serre 
we are traveling on a tight budget 	nous voyageons a petit budget 
we re expecting tom any minute now 	nous attendons tom d une minute a l autre maintenant 
we re getting a lot of things done 	nous faisons beaucoup de choses 
we re getting a new car next month 	nous aurons une nouvelle voiture le mois prochain 
we re going to give it another try 	nous allons essayer a nouveau 
we re going to give it another try 	on va essayer encore une fois 
we re looking for a friend of ours 	nous cherchons l un de nos amis 
we re looking for a place to sleep 	nous cherchons un endroit ou dormir 
we re not doing this for the money 	nous ne le faisons pas pour l argent 
we re not going to make it in time 	on ne reussira pas a arriver a l heure 
we re totally different people now 	nous sommes desormais des gens completement differents 
you are difficult and incorrigible 	tu es difficile et incorrigible 
you are entitled to try once again 	tu as le droit d essayer une nouvelle fois 
you are in part responsible for it 	tu en es en partie responsable 
you are in part responsible for it 	vous en etes en partie responsable 
you are in part responsible for it 	vous en etes en partie responsables 
you are more stupid than i thought 	tu es plus idiot que je pensais 
you are not supposed to smoke here 	vous n etes pas censes fumer ici 
you are not supposed to smoke here 	vous n etes pas cense fumer ici 
you are not supposed to smoke here 	tu n es pas censee fumer ici 
you are not supposed to smoke here 	tu n es pas cense fumer ici 
you are not supposed to smoke here 	vous n etes pas censees fumer ici 
you are not supposed to smoke here 	vous n etes pas censee fumer ici 
you are now on the way to recovery 	vous etes maintenant en voie de retablissement 
you are our one millionth customer 	vous etes notre millionieme client 
you are responsible for the result 	vous etes responsable des resultats 
you are responsible for the result 	tu es responsable de ce resultat 
you are the very man i want to see 	vous etes precisement l homme que je veux voir 
you are too sensitive to criticism 	tu es trop sensible a la critique 
you are too sensitive to criticism 	vous etes trop sensible a la critique 
you are trusted by every one of us 	chacun de nous te fait confiance 
you are trusted by every one of us 	tu as la confiance de tous 
you re always anticipating trouble 	tu prevois toujours des problemes 
you re always anticipating trouble 	vous anticipez toujours des ennuis 
you re giving me the same old line 	c est toujours la meme litanie que tu me racontes 
you re never going to believe this 	tu ne vas jamais le croire 
you re never going to believe this 	vous n allez jamais le croire 
you re new around here aren t you 	tu es nouveau dans le coin n est ce pas 
you re new around here aren t you 	vous etes nouveau par ici n est ce pas 
you re not going to do it are you 	tu ne vas pas le faire n est ce pas 
you re not going to do it are you 	vous n allez pas le faire n est ce pas 
you re the only person i can trust 	vous etes la seule personne en qui j ai confiance 
you re the only person i can trust 	tu es la seule personne en qui j ai confiance 
he is a good match for me in tennis 	c est un bon partenaire de tennis pour moi 
he is a promising young businessman 	c est un jeune homme d affaires prometteur 
he is ahead of his class in english 	il est en tete de la classe en anglais 
he is always taking a nap at school 	il est toujours en train de faire la sieste a l ecole 
he is always willing to help others 	il se fait toujours une joie d aider les autres 
he is apparently responsible for it 	il est responsable semble t il 
he is as great a poet as ever lived 	il fait partie des plus grands poetes de tous les temps 
he is better off than he used to be 	il est meilleur que ce qu il etait 
he is capable of doing such a thing 	il est capable de faire une chose pareille 
he is less patient than his brother 	il est moins patient que son frere 
he is not the shy boy he used to be 	il n est plus le garcon timide qu il etait 
he is not too poor to buy a bicycle 	il n est pas trop pauvre pour acheter une bicyclette 
he is not what he was ten years ago 	il n est plus ce qu il etait il y a dix ans 
he is out of circulation these days 	on ne le voit plus ces derniers jours 
he is regretful that he couldn t go 	il regrette beaucoup de ne pas pouvoir y aller 
he is suffering from loss of memory 	il souffre d amnesie 
he is what we call a musical genius 	il est ce que nous appelons un genie de la musique 
he s got the new technique down pat 	il maitrise la nouvelle technique 
he s here trying to stir up trouble 	il est ici pour chercher la bagarre 
he s here trying to stir up trouble 	il est ici pour fomenter des troubles 
he s interested in mayan prophecies 	il s interesse aux propheties mayas 
he s intimidated by beautiful women 	il est intimide par les belles femmes 
he s nervous and gets scared easily 	il est nerveux et facilement effraye 
he s not paying any attention to me 	il ne me prete aucune attention 
he s not the same man he used to be 	il n est plus l homme qu il etait 
he s not working much at the moment 	il ne travaille pas beaucoup en ce moment 
he s the one who told me about that 	c est lui qui m a parle de cela 
he s waiting for the train to leave 	il attend que le train parte 
i am a student at oxford university 	je suis etudiant a l universite d oxford 
i am accustoming to this life style 	je m habitue a ce mode de vie 
i am all alone in a foreign country 	je suis tout seul dans ce pays etranger 
i am almost scared to talk with you 	je suis presque effraye de vous parler 
i am glad to accept your invitation 	je suis heureux d accepter votre invitation 
i am glad to accept your invitation 	je suis heureuse d accepter votre invitation 
i am going to watch tv this evening 	je vais regarder la tele ce soir 
i am interested in japanese history 	je suis interesse par l histoire japonaise 
i am interested in chess these days 	je m interesse actuellement aux echecs 
i am intrigued by what is happening 	je suis intrigue par ce qu il se passe 
i am learning two foreign languages 	j apprends deux langues etrangeres 
i am learning two foreign languages 	je suis en train d apprendre deux langues etrangeres 
i am leaving japan tomorrow morning 	je quitte le japon demain matin 
i am looking forward to your letter 	j attends impatiemment ta lettre 
i am no more an artist than you are 	je ne suis pas plus artiste que toi 
i am not concerned with this affair 	je ne suis pas concerne par cette affaire 
i am not concerned with this affair 	je ne suis pas preoccupe par cette affaire 
i am really pleased with my new car 	je suis tres content de ma nouvelle voiture 
i am responsible for her protection 	je suis responsable de sa protection 
i am sorry to have kept you waiting 	je suis desole de vous avoir fait attendre 
i am still attached to this bicycle 	je suis toujours attache a ce velo 
i am very pleased with my new house 	je suis pleinement satisfait de ma nouvelle maison 
i m afraid i have internal bleeding 	j ai peur d avoir une hemorragie interne 
i m afraid i ve run short of coffee 	j ai peur de ne plus avoir de cafe 
i m afraid i ve run short of coffee 	je crains de ne plus avoir de cafe 
i m also thinking of going to korea 	je pense aussi aller en coree 
i m beginning to miss my girlfriend 	je commence a me languir de ma petite amie 
i m bored and don t know what to do 	j en ai assez et ne sais quoi faire 
i m busy getting ready for tomorrow 	je suis occupe a me preparer pour demain 
i m calling from tom s mobile phone 	j appelle depuis le telephone portable de tom 
i m calling to report a lost wallet 	j appelle pour signaler un portefeuille perdu 
i m calling to tell you what i need 	j appelle pour te dire ce dont j ai besoin 
i m disappointed that he s not here 	je suis decu qu il ne soit pas la 
i m getting more and more gray hair 	j ai de plus en plus de cheveux gris 
i m getting off at the next station 	j ai l intention de descendre au prochain arret 
i m going to cook you a nice dinner 	je vais te cuisiner un bon repas 
i m going to need your help on this 	je vais avoir besoin de ton aide pour ceci 
i m going to need your help on this 	je vais avoir besoin de votre aide pour ceci 
i m going to study french next year 	je vais etudier le francais l annee prochaine 
i m happy you two are friends again 	je suis heureux que vous soyez a nouveau amis tous les deux 
i m happy you two are friends again 	je suis heureux que vous soyez a nouveau amies toutes les deux 
i m happy you two are friends again 	je suis heureux que tous deux soyez a nouveau amis 
i m happy you two are friends again 	je suis heureux que toutes deux soyez a nouveau amies 
i m in debt to my uncle for 	je dois dix mille dollars a mon oncle 
i m in the mood for something sweet 	je prendrais bien quelque chose de sucre la 
i m just glad everything worked out 	tout est bien qui finit bien 
i m just glad everything worked out 	je suis content que tout se soit bien passe 
i m just going to go powder my nose 	je vais juste aller me poudrer le nez 
i m not as stupid as you think i am 	je ne suis pas aussi bete que tu le penses 
i m not as stupid as you think i am 	je ne suis pas aussi bete que vous le pensez 
i m not carrying any identification 	je ne porte aucune piece d identite 
i m not even sure if this is my key 	je ne suis meme pas sur qu il s agisse de ma cle 
i m not even sure if this is my key 	je ne suis meme pas sure qu il s agisse de ma cle 
i m not even sure if this is my key 	je ne suis meme pas sur que ce soit ma cle 
i m not even sure if this is my key 	je ne suis meme pas sure que ce soit ma cle 
i m not expecting special treatment 	je ne m attends pas a un traitement de faveur 
i m not feeling particularly hungry 	je ne ressens pas particulierement la faim 
i m not going to go to school today 	je ne vais pas aller a l ecole aujourd hui 
i m not like the rest of these guys 	je ne suis pas comme le reste de ces types 
i m not minimizing the consequences 	je ne suis pas en train de minimiser les consequences 
i m not sure he wants to talk to me 	je ne suis pas sur qu il veuille me parler 
i m not sure he wants to talk to me 	je ne suis pas sure qu il veuille me parler 
i m not sure he wants to talk to me 	je ne suis pas sur qu il veuille s entretenir avec moi 
i m not sure he wants to talk to me 	je ne suis pas sure qu il veuille s entretenir avec moi 
i m not sure what you were thinking 	je ne suis pas certain de ce que tu pensais 
i m not sure what you were thinking 	je ne suis pas certaine de ce que tu pensais 
i m not sure what you were thinking 	je ne suis pas certain de ce que vous pensiez 
i m not sure what you were thinking 	je ne suis pas certaine de ce que vous pensiez 
i m not sure why they asked me that 	je ne sais pas vraiment pourquoi ils m ont demande ca 
i m not sure why they asked me that 	je ne sais pas vraiment pourquoi elles m ont demande ca 
i m not worried about losing my job 	je ne suis pas inquiet de perdre mon emploi 
i m on the beach playing volleyball 	je suis a la plage en train de jouer au volley ball 
i m ready to leave whenever you are 	je suis pret a partir des que tu l es 
i m ready to leave whenever you are 	je suis pret a partir des que vous l etes 
i m really disappointed in you tom 	tu me decois vraiment tom 
i m really surprised tom s not here 	je suis vraiment surpris que tom ne soit pas ici 
i m slow to adapt to new situations 	je suis lente a m adapter a de nouvelles situations 
i m slow to adapt to new situations 	je suis lent a m adapter a de nouvelles situations 
i m sorry you got dragged into this 	je suis desole que tu aies ete entraine la dedans 
i m sorry you got dragged into this 	je suis desole que tu aies ete entrainee la dedans 
i m sorry you got dragged into this 	je suis desole que vous ayez ete entraine la dedans 
i m sorry there s nothing i can do 	desolee je ne peux rien y faire 
i m starting to feel better already 	je commence a me sentir deja mieux 
i m sure tom will know how to do it 	je suis sure que tom saura comment faire 
i m sure tom will know how to do it 	je suis sur que tom saura comment le faire 
i m sure tom would be happy to help 	je suis sur que tom serait heureux d aider 
i m sure it s around here somewhere 	je suis sur que c est quelque part dans le coin 
i m the one that pays all the bills 	je suis celui qui paye toutes les factures 
i m the one that pays all the bills 	je suis celle qui paye toutes les factures 
i m the one who makes the decisions 	je suis celui qui prend les decisions 
i m trying to save room for dessert 	j essaie de garder de la place pour le dessert 
i m very sorry to have troubled you 	je suis vraiment desole de t avoir derange 
she is always free in the afternoon 	elle est toujours libre l apres midi 
she is fluent in english and french 	elle parle couramment l anglais et le francais 
she is happiest when she is at home 	c est a la maison qu elle est la plus heureuse 
she is happiest when she is at home 	c est chez elle qu elle est la plus heureuse 
she is not anything like her mother 	elle est toute differente de sa mere 
she is rarely late for appointments 	elle est rarement en retard a un rendez vous 
she is the type men call stunning 	elle est du genre que les hommes qualifient d eblouissante 
she is used to staying up all night 	elle est accoutumee a veiller toute la nuit 
she is used to staying up all night 	elle est accoutumee a rester debout toute la nuit 
she should have arrived home by now 	a l heure qu il est elle doit etre arrivee chez elle 
she stammers when she feels nervous 	elle begaye quand elle se sent nerveuse 
she stammers when she feels nervous 	elle begaye lorsqu elle se sent nerveuse 
she started talking with a stranger 	elle s est mise a parler a un etranger 
she starts her job at seven o clock 	elle commence son travail a sept heures 
she surprised him with a small gift 	elle le surprit par un petit cadeau 
she s most happy when she s at home 	elle est plus qu heureuse lorsqu elle est chez elle 
they are all my personal belongings 	ce sont toutes mes affaires personnelles 
they are engaged in cancer research 	ils se sont impliques dans la recherche sur le cancer 
they are engaged in cancer research 	elles se sont engagees dans la recherche sur le cancer 
we are faced with many difficulties 	nous sommes confrontes a de nombreuses difficultes 
we are going to climb that mountain 	nous allons gravir cette montagne 
we are going to climb that mountain 	nous avons l intention de gravir cette montagne 
we re expecting lousy weather today 	nous attendons du mauvais temps aujourd hui 
we re going to do everything we can 	nous allons faire tout ce que nous pouvons 
we re going to do everything we can 	on va faire tout ce qu on peut 
we re going to do everything we can 	nous allons faire ce que nous pouvons 
we re going to do everything we can 	on va faire ce qu on peut 
we re headed in the right direction 	nous nous dirigeons dans la bonne direction 
you are doing very well keep it up 	tu te debrouilles tres bien continue 
you are going to have to pay for it 	il va falloir que vous le payiez 
you are responsible for what you do 	tu es responsable de ce que tu fais 
you are responsible for what you do 	vous etes responsables de ce que vous faites 
you are responsible for what you do 	vous etes responsable de ce que vous faites 
you re always finding fault with me 	tu trouves toujours des reproches a me faire 
you re comparing apples and oranges 	tu compares des choux et des carottes 
you re going to be very proud of me 	tu vas etre tres fier de moi 
you re hiding something aren t you 	tu me caches quelque chose toi 
you re kind of cute when you re mad 	tu es assez mignonne quand tu es en colere 
you re kind of cute when you re mad 	vous etes assez mignonne quand vous etes en colere 
you re kind of cute when you re mad 	vous etes assez mignon quand vous etes en colere 
you re kind of cute when you re mad 	vous etes assez mignonnes quand vous etes en colere 
you re kind of cute when you re mad 	vous etes assez mignons quand vous etes en colere 
you re kind of cute when you re mad 	tu es assez mignon quand tu es en colere 
you re the only one who can do this 	tu es le seul a pouvoir faire ca 
you re the only one who can help me 	vous etes le seul a pouvoir m aider 
you re the only one who can help me 	tu es le seul a pouvoir m aider 
you re the only one who can help me 	tu es la seule a pouvoir m aider 
you re the only one who can help me 	vous etes la seule a pouvoir m aider 
you re the only one who can help me 	tu es le seul qui puisse m aider 
you re three years younger than tom 	tu as trois ans de moins que tom 
you re too clever for your own good 	vous etes trop intelligent pour votre securite 
he is absorbed in the study of latin 	il est plonge dans les cours de latin 
he is an authority on the humanities 	c est une autorite en matiere d humanites 
he is bigger than all the other boys 	il est plus grand que tous les autres garcons 
he is by far the wisest of the three 	il est de loin le plus sage des trois 
he is familiar with japanese culture 	il est familier de la culture japonaise 
he is leaving for new york next week 	il part pour new york la semaine prochaine 
he is making preparations for a trip 	il fait les preparatifs pour un voyage 
he is not the man that he used to be 	il n est plus le meme homme 
he is proud of his father being rich 	il est fier que son pere soit riche 
he is saving in order to buy a house 	il economise pour acheter une maison 
he is saving money for a trip abroad 	il economise de l argent pour un voyage a l etranger 
he is used to that type of situation 	il a l habitude de ce genre de situation 
he is used to walking long distances 	il est habitue a marcher sur de longues distances 
he is very particular about his food 	il est tres difficile en ce qui concerne sa nourriture 
he is what is called a man of action 	il est ce qu on appelle un homme d action 
he is younger than me by three years 	il est trois ans plus jeune que moi 
he s an advocate of barefoot running 	il est partisan de la course pieds nus 
he s not going to visit you tomorrow 	il ne vous rendra pas visite demain 
he s nothing more than a common thug 	il n est rien d autre qu un vulgaire voyou 
he s the king s most trusted advisor 	il est le conseiller le plus proche du roi 
he s walking around in his underwear 	il se promene en sous vetements 
he s shivering because of the cold 	il tremble de froid 
i am familiar with this part of town 	je suis familier de cette partie de la ville 
i am going to have a great day today 	je vais avoir une excellente journee devant moi aujourd hui 
i am going to swim a lot this summer 	je vais beaucoup nager cet ete 
i am just dying for a coke right now 	je veux un coca rapidement 
i am looking for room with twin beds 	je suis a la recherche d une chambre avec des lits jumeaux 
i am not in the least afraid of dogs 	je n ai pas du tout peur des chiens 
i am not interested in material gain 	je ne suis pas interesse par le gain materiel 
i am not interested in material gain 	je ne suis pas interessee par le gain materiel 
i am so tired that i can hardly walk 	je suis tellement fatigue que je peux a peine marcher 
i am sure that you will be satisfied 	je suis sur que vous serez satisfaits 
i am the first musician in my family 	je suis le premier musicien de la famille 
i m adding the finishing touches now 	j ajouterai la touche finale 
i m adding the finishing touches now 	je suis en train d ajouter les touches finales 
i m afraid this data is not reliable 	j ai bien peur que ces donnees ne soient pas fiables 
i m afraid you have the wrong number 	vous vous etes trompe de numero 
i m afraid you have the wrong number 	je crains que vous n ayez le mauvais numero 
i m always forgetting people s names 	j oublie toujours les noms des gens 
i m always forgetting people s names 	j oublie toujours le nom des gens 
i m getting tired of your complaints 	j en ai marre de vos plaintes 
i m getting tired of your complaints 	j en ai marre de tes plaintes 
i m glad to be the one who tells you 	je me rejouis d etre celui qui te le dit 
i m glad to be the one who tells you 	je me rejouis d etre celui qui vous le dit 
i m glad to be the one who tells you 	je me rejouis d etre celle qui te le dit 
i m glad to be the one who tells you 	je me rejouis d etre celle qui vous le dit 
i m glad to be the one who tells you 	je me rejouis d etre celle qui te l annonce 
i m glad to be the one who tells you 	je me rejouis d etre celui qui te l annonce 
i m glad to be the one who tells you 	je me rejouis d etre celle qui vous l annonce 
i m glad to be the one who tells you 	je me rejouis d etre celui qui vous l annonce 
i m glad you could come to the party 	je suis content que tu aies pu venir a la fete 
i m going to boston for three months 	je vais a boston pour trois mois 
i m going to ask you to do your duty 	je vais te demander de faire ton devoir 
i m going to ask you to do your duty 	je vais vous demander de faire votre devoir 
i m going to be late for the meeting 	je vais etre en retard pour la reunion 
i m going to head back to the office 	je vais retourner travailler au bureau 
i m going to my room so i can study 	je vais dans ma chambre pour pouvoir etudier 
i m going to need someone to help me 	je vais avoir besoin de quelqu un pour m aider 
i m going to see mary this afternoon 	j ai l intention de voir mary cet apres midi 
i m going to take care of it for you 	je vais y faire attention pour toi 
i m going to take care of it for you 	je vais m en occuper pour toi 
i m halfway through this crime novel 	je suis a la moitie de ce roman policier 
i m halfway through this crime novel 	je suis a mi chemin de ce roman policier 
i m having a hard time concentrating 	j ai du mal a me concentrer 
i m looking for a gift for my friend 	je cherche un cadeau a offrir a mon ami 
i m looking forward to the next time 	je suis impatient de la prochaine fois 
i m looking forward to the next time 	je suis impatiente de la prochaine fois 
i m not accustomed to such treatment 	je ne suis pas habitue a un tel traitement 
i m not discounting that possibility 	je n ecarte pas cette possibilite 
i m not going to the movies tomorrow 	demain je ne vais pas au cinema 
i m not going to the movies tomorrow 	je n irai pas au cinema demain 
i m not interested in a relationship 	je ne suis pas interesse par une relation 
i m not interested in a relationship 	je ne suis pas interessee par une relation 
i m not leaving the two of you alone 	je ne vous laisse pas seuls tous les deux 
i m not leaving the two of you alone 	je ne vous laisse pas seules toutes les deux 
i m not surprised you don t remember 	je ne suis pas surpris que vous ne vous en souveniez pas 
i m not surprised you don t remember 	je ne suis pas surprise que vous ne vous en souveniez pas 
i m not surprised you don t remember 	je ne suis pas surpris que tu ne t en souviennes pas 
i m not surprised you don t remember 	je ne suis pas surprise que tu ne t en souviennes pas 
i m not the only one who wants to go 	je ne suis pas le seul a vouloir y aller 
i m not the only one who wants to go 	je ne suis pas la seule qui veut y aller 
i m on good terms with the neighbors 	j ai de bonnes relations avec mes voisins 
i m only doing what needs to be done 	je ne fais que ce qu il est necessaire de faire 
i m pleased with my new bathing suit 	je suis content de ma nouvelle veste 
i m proud of the work i ve done here 	je suis fiere du travail que j ai fait ici 
i m proud of the work i ve done here 	je suis fiere du travail que j ai accompli ici 
i m proud of the work i ve done here 	je suis fier du travail que j ai fait ici 
i m proud of the work i ve done here 	je suis fier du travail que j ai accompli ici 
i m really not interested in history 	je ne suis vraiment pas interesse par l histoire 
i m really not interested in history 	je ne suis vraiment pas interessee par l histoire 
i m really not up on recent tv shows 	je ne m y connais pas vraiment en emissions de television recentes 
i m really surprised you got a prize 	je suis vraiment surpris que vous ayez obtenu un prix 
i m really surprised you got a prize 	je suis vraiment surprise que vous ayez obtenu un prix 
i m scheduled to have lunch with him 	il est prevu que je dejeune avec lui 
i m so happy to finally be back home 	je suis tellement heureux d etre enfin de retour a la maison 
i m sorry it had to be done this way 	je suis desole qu il ait fallu le faire de cette maniere 
i m sorry it had to be done this way 	je suis desolee qu il ait fallu le faire de cette maniere 
i m sorry that i didn t reply sooner 	desole de ne pas avoir repondu plus tot 
i m sorry that i didn t reply sooner 	je suis desole de ne pas avoir repondu plus tot 
i m sorry that i didn t reply sooner 	je suis desolee de ne pas avoir repondu plus tot 
i m sorry i dialed the wrong number 	je suis desole je me suis trompe de numero 
i m sorry i dialed the wrong number 	je suis confus j ai compose un mauvais numero 
i m sorry but i can t stay for long 	je m excuse mais je ne peux pas rester longtemps 
i m sorry we re completely sold out 	je suis desole nous avons tout vendu 
i m sorry we re completely sold out 	je suis desolee nous avons tout vendu 
i m sorry we re completely sold out 	je suis desole nous avons ete devalises 
i m strongly opposed to a compromise 	je suis farouchement oppose a un compromis 
i m studying economics at university 	j etudie l economie a l universite 
i m sure he mistook me for my sister 	je suis sure qu il m a confondue avec ma s ur 
i m sure he mistook me for my sister 	je suis sur qu il m a confondu avec ma s ur 
i m sure it wasn t me who broke this 	je suis sur que ce n est pas moi qui ai casse ceci 
i m the one who picked those flowers 	c est moi meme qui ai cueilli ces fleurs 
i m too short to reach the top shelf 	je suis trop petit pour atteindre l etagere du haut 
i m used to tom always yelling at me 	je suis habituee a ce que tom me crie tout le temps dessus 
i m used to tom always yelling at me 	je suis habitue a ce que tom me crie toujours dessus 
i m very concerned about her illness 	je m inquiete beaucoup de sa maladie 
she is a very intelligent young lady 	c est une jeune femme tres intelligente 
she is always complaining of her job 	elle se plaint toujours de son travail 
she is buying books in the bookstore 	elle est en train d acheter des livres a la librairie 
she is devoted to her three children 	elle est entierement devouee a ses trois enfants 
she is endowed with a special talent 	elle est dotee d un talent special 
she is getting prettier and prettier 	elle devient de plus en plus jolie 
she is not ashamed of her misconduct 	elle n a pas honte de son inconduite 
she is wearing an expensive necklace 	elle porte un collier de prix 
she spoke scarcely a word of english 	elle parle difficilement un mot d anglais 
she substituted margarine for butter 	elle a utilise de la margarine a la place du beurre 
she s accustomed to getting up early 	elle est habituee a se lever tot 
she s been sick since last wednesday 	elle est malade depuis mercredi dernier 
she s collecting material for a book 	elle rassemble du materiel pour un livre 
she s maxed out all her credit cards 	elle a excede tous les plafonds de ses cartes de credit 
she s not confident about the future 	elle n est pas confiante en l avenir 
she s the breadwinner in this family 	c est elle le soutien de famille 
they re going to give me an estimate 	ils vont me donner un devis 
they re having a break at the moment 	pour le moment ils font une pause 
we are faced with a difficult choice 	nous sommes confrontes a un choix difficile 
we are faced with a host of problems 	nous sommes confrontes a une multitude de problemes 
we are faced with a host of problems 	nous sommes confrontes a une foule de problemes 
we are faced with a host of problems 	nous sommes confrontes a un tas de problemes 
we are faced with a host of problems 	nous sommes confrontes a quantite de problemes 
we are influenced by our environment 	nous sommes influences par notre environnement 
we are subject to the laws of nature 	nous sommes soumis aux lois de la nature 
we re going out for a meal on friday 	nous sortons manger vendredi 
we re going to be here all afternoon 	nous allons etre ici toute l apres midi 
we re going to have to work together 	nous allons devoir travailler ensemble 
we re going to have to work together 	nous allons avoir a travailler ensemble 
we re going to search the whole ship 	nous allons fouiller la totalite du bateau 
we re leaving the day after tomorrow 	nous partirons apres demain 
we re not afraid of any difficulties 	nous n avons pas peur de n importe quelle detresse 
we re prepared to make tough choices 	nous sommes prets a prendre des decisions difficiles 
we re studying french and web design 	nous etudions le francais et la conception de site web 
we re trying to cut down on expenses 	nous tentons de reduire les depenses 
you are always finding fault with me 	tu as toujours quelque chose a me reprocher 
you are always finding fault with me 	vous avez toujours quelque chose a me reprocher 
you are really very productive today 	tu es vraiment tres productif aujourd hui 
